Id,TextSora2,aya,NomSora
6222,قُلْ هُوَ اللَّهُ أَحَدٌ,1,الإخلاص
6223,اللَّهُ الصَّمَدُ,2,الإخلاص
6224,لَمْ يَلِدْ وَلَمْ يُولَدْ,3,الإخلاص
6225,وَلَمْ يَكُنْ لَهُ كُفُوًا أَحَدٌ,4,الإخلاص
